"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2018","850.49","857.49","867.15","848.89","78.02K","-0.80%"
"Jul 06, 2018","857.38","834.46","860.43","825.09","106.13K","2.35%"
"Jul 05, 2018","837.72","853.63","857.55","829.19","94.22K","-1.86%"
"Jul 04, 2018","853.63","844.58","854.25","833.85","85.99K","1.07%"
"Jul 03, 2018","844.56","879.92","880.47","844.56","122.86K","-4.02%"
"Jul 02, 2018","879.92","894.88","894.88","869.01","111.21K","-1.84%"
"Jun 29, 2018","896.39","896.44","900.64","889.54","76.95K","-0.01%"
"Jun 28, 2018","896.46","912.04","916.02","893.11","98.18K","-1.54%"
"Jun 27, 2018","910.52","921.16","923.84","910.52","98.19K","-1.16%"
"Jun 26, 2018","921.17","927.90","927.90","908.17","86.09K","-0.73%"
"Jun 25, 2018","927.98","920.30","934.17","920.28","87.36K","0.87%"
"Jun 22, 2018","920.01","904.49","921.21","896.18","71.69K","1.70%"
"Jun 21, 2018","904.64","915.55","915.55","900.79","67.41K","-1.19%"
"Jun 20, 2018","915.51","896.43","915.51","890.34","81.80K","2.13%"
"Jun 19, 2018","896.39","921.77","921.77","874.12","155.02K","-2.78%"
"Jun 18, 2018","921.98","952.68","953.98","921.98","107.97K","-3.22%"
"Jun 15, 2018","952.69","952.86","955.02","943.91","107.41K","-0.03%"
"Jun 14, 2018","952.98","962.48","968.35","952.98","106.46K","-1.04%"
"Jun 13, 2018","962.98","954.69","964.03","950.94","69.65K","0.87%"
"Jun 12, 2018","954.67","969.27","969.27","936.97","130.75K","-1.51%"
"Jun 11, 2018","969.33","971.74","977.74","962.23","92.50K","-0.26%"
"Jun 08, 2018","971.86","972.56","973.42","964.05","85.32K","-0.07%"
"Jun 07, 2018","972.55","970.15","978.87","966.27","109.85K","0.34%"
"Jun 06, 2018","969.27","955.04","969.84","944.65","106.46K","1.50%"
"Jun 05, 2018","954.90","943.33","955.46","943.13","122.16K","1.23%"
"Jun 04, 2018","943.33","919.86","943.51","919.84","104.94K","2.68%"
"Jun 01, 2018","918.67","900.09","920.42","900.09","118.96K","2.06%"
"May 31, 2018","900.09","875.36","901.69","871.77","105.42K","2.83%"
"May 30, 2018","875.36","881.55","881.55","861.27","79.24K","-0.70%"
"May 29, 2018","881.56","856.82","887.57","843.18","112.36K","2.89%"
"May 28, 2018","856.83","892.99","892.99","853.61","140.67K","-4.05%"
"May 25, 2018","892.99","913.40","913.82","892.99","90.54K","-2.23%"
"May 24, 2018","913.40","920.27","925.42","905.69","76.50K","-0.75%"
"May 23, 2018","920.27","912.27","924.35","899.09","89.57K","0.88%"
"May 22, 2018","912.27","947.55","947.55","902.19","117.57K","-3.72%"
"May 21, 2018","947.55","969.54","974.04","947.55","71.97K","-2.26%"
"May 18, 2018","969.49","958.43","970.42","942.35","85.38K","1.15%"
"May 17, 2018","958.46","980.26","981.64","958.46","76.00K","-2.22%"
"May 16, 2018","980.21","996.80","996.80","977.52","81.08K","-1.66%"
"May 15, 2018","996.80","993.04","1,006.56","993.04","86.04K","0.38%"
"May 14, 2018","993.04","975.29","993.04","974.84","76.16K","1.82%"
"May 11, 2018","975.29","965.41","976.06","951.71","93.10K","1.02%"
"May 10, 2018","965.41","988.94","989.49","958.18","103.09K","-2.39%"
"May 09, 2018","989.08","990.01","997.95","981.09","86.57K","-0.09%"
"May 08, 2018","990.01","991.84","1,001.10","987.83","96.21K","-0.19%"
"May 07, 2018","991.92","960.95","991.92","960.95","92.56K","3.26%"
"May 04, 2018","960.60","958.74","969.58","956.41","97.69K","0.19%"
"May 03, 2018","958.76","961.84","961.84","938.99","128.83K","-0.33%"
"May 02, 2018","961.93","976.36","980.07","958.65","115.01K","-1.48%"
"Apr 27, 2018","976.37","966.26","976.37","956.25","112.88K","1.05%"
"Apr 26, 2018","966.26","996.35","998.85","959.57","137.96K","-3.01%"
"Apr 24, 2018","996.29","998.34","1,001.97","973.04","125.02K","-0.21%"
"Apr 23, 2018","998.39","1,030.61","1,038.39","998.39","136.36K","-3.12%"
